Timestamp;4 Byte float RTT Data
123500;0.563290
123600;0.562337
123700;0.561384
123800;0.560429
123900;0.559474
124000;0.558519
124100;0.557662
124200;0.556606
124300;0.555649
124400;0.554691
124500;0.553826
124600;0.552774
124700;0.551904
124800;0.550855
124900;0.549895
125000;0.549018
125100;0.547972
125200;0.547010
125300;0.546048
125400;0.545086
125500;0.544123
125600;0.543159
125700;0.542195
125800;0.541230
125900;0.540335
126000;0.539300
126100;0.538335
126200;0.537433
126300;0.536465
126400;0.535436
126500;0.534469
126600;0.533501
126700;0.532533
126800;0.531619
126900;0.530597
127000;0.529628
127100;0.528709
127200;0.527690
127300;0.526766
127400;0.525795
127500;0.524823
127600;0.523810
127700;0.522839
127800;0.521869
127900;0.520898
128000;0.519927
128100;0.518955
128200;0.517984
128300;0.517012
128400;0.516040
128500;0.515042
128600;0.514096
128700;0.513123
128800;0.512150
128900;0.511197
129000;0.510205
129100;0.509232
129200;0.508260
129300;0.507287
129400;0.506313
129500;0.505341
129600;0.504367
129700;0.503394
129800;0.502421
129900;0.501447
130000;0.500475
130100;0.499501
130200;0.498525
130300;0.497550
130400;0.496575
130500;0.495600
130600;0.494634
130700;0.493650
130800;0.492688
130900;0.491715
131000;0.490726
131100;0.489752
131200;0.488797
131300;0.487803
131400;0.486852
131500;0.485879
131600;0.484907
131700;0.483935
131800;0.482963
131900;0.481991
132000;0.480987
132100;0.480048
132200;0.479077
132300;0.478106
132400;0.477096
132500;0.476165
132600;0.475194
132700;0.474180
132800;0.473209
132900;0.472285
133000;0.471316
133100;0.470347
133200;0.469379
133300;0.468410
133400;0.467442
133500;0.466474
133600;0.465506
133700;0.464539
133800;0.463573
133900;0.462606
134000;0.461574
134100;0.460675
134200;0.459640
134300;0.458745
134400;0.457780
134500;0.456742
134600;0.455852
134700;0.454812
134800;0.453927
134900;0.452964
135000;0.451920
135100;0.451041
135200;0.450080
135300;0.449033
135400;0.448160
135500;0.447201
135600;0.446242
135700;0.445284
135800;0.444326
135900;0.443369
136000;0.442412
136100;0.441456
136200;0.440398
136300;0.439546
136400;0.438592
136500;0.437638
136600;0.436794
136700;0.435622
136800;0.434781
136900;0.433830
137000;0.432879
137100;0.431812
137200;0.430980
137300;0.430031
137400;0.428961
137500;0.428012
137600;0.427190
137700;0.426244
137800;0.425299
137900;0.424355
138000;0.423280
138100;0.422469
138200;0.421392
138300;0.420586
138400;0.419646
138500;0.418706
138600;0.417767
138700;0.416829
138800;0.415892
138900;0.414809
139000;0.414020
139100;0.413085
139200;0.412152
139300;0.411219
139400;0.410287
139500;0.409355
139600;0.408425
139700;0.407496
139800;0.406568
139900;0.405640
140000;0.404713
140100;0.403788
140200;0.402863
140300;0.401939
140400;0.400845
140500;0.399922
140600;0.399173
140700;0.398254
140800;0.397335
140900;0.396417
141000;0.395501
141100;0.394585
141200;0.393670
141300;0.392756
141400;0.391844
141500;0.390932
141600;0.389832
141700;0.389113
141800;0.388204
141900;0.387103
142000;0.386391
142100;0.385288
142200;0.384582
142300;0.383479
142400;0.382778
142500;0.381674
142600;0.380978
142700;0.379874
142800;0.378975
142900;0.378288
143000;0.377182
143100;0.376287
143200;0.375608
143300;0.374717
143400;0.373610
143500;0.372721
143600;0.372053
143700;0.371166
143800;0.370282
143900;0.369399
144000;0.368290
144100;0.367637
144200;0.366757
144300;0.365879
144400;0.365002
144500;0.364127
144600;0.363253
144700;0.362380
144800;0.361270
144900;0.360639
145000;0.359770
145100;0.358903
145200;0.358037
145300;0.356927
145400;0.356557
145500;0.355448
145600;0.354588
145700;0.353729
145800;0.352872
145900;0.352016
146000;0.351162
146100;0.350309
146200;0.349457
146300;0.348608
146400;0.347759
146500;0.346912
146600;0.346067
146700;0.344956
146800;0.344588
146900;0.344577
147000;0.344300
147100;0.344024
147200;0.343750
147300;0.343477
147400;0.343205
147500;0.342936
147600;0.342938
147700;0.342401
147800;0.342136
147900;0.341873
148000;0.341611
148100;0.341350
148200;0.341092
148300;0.340834
148400;0.340579
148500;0.340325
148600;0.340072
148700;0.339821
148800;0.339572
148900;0.339047
149000;0.339078
149100;0.338834
149200;0.338313
149300;0.338349
149400;0.338110
149500;0.337871
149600;0.337635
149700;0.337400
149800;0.336886
149900;0.336654
150000;0.336705
150100;0.336194
150200;0.335967
150300;0.336024
150400;0.335800
150500;0.335578
150600;0.335358
150700;0.335139
150800;0.334922
150900;0.334706
151000;0.334492
151100;0.334280
151200;0.334354
151300;0.333860
151400;0.333653
151500;0.333447
151600;0.333243
151700;0.333040
151800;0.332840
151900;0.332640
152000;0.332443
152100;0.332247
152200;0.331763
152300;0.331860
152400;0.331670
152500;0.331480
152600;0.331293
152700;0.330816
152800;0.330923
152900;0.330740
153000;0.330267
153100;0.330380
153200;0.330202
153300;0.330027
153400;0.329852
153500;0.329680
153600;0.329509
153700;0.329340
153800;0.328878
153900;0.328712
154000;0.328843
154100;0.328385
154200;0.328519
154300;0.328360
154400;0.328203
154500;0.328048
154600;0.327894
154700;0.327741
154800;0.327591
154900;0.327442
155000;0.327295
155100;0.327149
155200;0.327006
155300;0.326864
155400;0.326723
155500;0.326585
155600;0.326448
155700;0.326313
155800;0.326179
155900;0.325748
156000;0.325918
156100;0.325789
156200;0.325663
156300;0.325538
156400;0.325114
156500;0.325293
156600;0.325174
156700;0.324754
156800;0.324939
156900;0.324825
157000;0.324712
157100;0.324601
157200;0.324492
157300;0.324384
157400;0.324278
157500;0.324174
157600;0.324072
157700;0.323971
157800;0.323872
157900;0.323775
158000;0.323680
158100;0.323282
158200;0.323494
158300;0.323099
158400;0.323315
158500;0.323229
158600;0.322839
158700;0.323060
158800;0.322979
158900;0.322899
159000;0.322821
159100;0.322439
159200;0.322670
159300;0.322598
159400;0.322527
159500;0.322151
159600;0.322390
159700;0.322018
159800;0.322260
159900;0.322198
160000;0.322138
160100;0.322385
160200;0.321715
160300;0.321967
160400;0.321913
160500;0.321554
160600;0.321812
160700;0.000000
160800;0.321717
160900;0.321672
161000;0.321629
161100;0.321588
161200;0.321549
161300;0.321511
161400;0.321476
161500;0.321441
161600;0.321409
161700;0.321071
161800;0.321350
161900;0.321323
162000;0.321297
162100;0.321252
162200;-1.#QNAN0
162300;-1.#QNAN0
162400;-1.#QNAN0
162500;-1.#QNAN0
162600;-1.#QNAN0
162700;-1.#QNAN0
162800;-1.#QNAN0
162900;-1.#QNAN0
163000;-1.#QNAN0
163100;-1.#QNAN0
163200;-1.#QNAN0
163300;-1.#QNAN0
163400;0.321130
163500;0.321133
163600;0.321138
163700;0.321144
163800;0.358564
163900;0.357361
164000;0.356159
164100;0.354958
164200;0.353759
164300;0.323920
164400;0.324204
164500;0.321260
164600;0.321282
164700;0.320998
164800;0.321332
164900;0.321360
165000;0.321389
165100;0.321420
165200;0.338622
165300;0.337460
165400;0.336299
165500;0.335140
165600;0.333983
165700;0.332828
165800;0.331674
165900;0.330521
166000;0.329370
166100;0.321829
166200;0.318844
166300;0.321880
166400;0.322238
166500;0.321986
166600;0.321735
166700;0.322100
166800;0.321852
166900;0.322220
167000;0.322283
167100;0.322348
167200;0.322414
167300;0.322482
167400;0.322552
167500;0.322624
167600;0.322391
167700;0.322467
167800;0.322849
167900;0.322928
168000;0.323008
168100;0.323090
168200;0.323174
168300;0.323260
168400;0.323347
168500;0.323436
168600;0.323527
168700;0.323619
168800;0.323714
168900;0.323810
169000;0.323908
169100;0.324007
169200;0.324108
169300;0.323908
169400;0.324013
169500;0.324423
169600;0.324531
169700;0.324641
169800;0.325054
169900;0.324866
170000;0.324981
170100;0.324796
170200;0.325216
170300;0.325337
170400;0.325459
170500;0.325583
170600;0.325408
170700;0.326134
170800;0.325964
170900;0.326095
171000;0.326227
171100;0.326062
171200;0.326198
171300;0.326634
171400;0.326774
171500;0.327212
171600;0.327057
171700;0.327201
171800;0.327348
171900;0.327495
172000;0.327941
172100;0.327796
172200;0.327949
172300;0.328103
